City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Termez,UZ,82.49,clear sky,37.2242,67.2783,Hotel Sharq
627,Bhachāu,IN,84.24,overcast clouds,23.2833,70.35,Amrut Bagh Resort
628,Yumen,CN,86.49,overcast clouds,40.2833,97.2,
629,Port Moresby,PG,81.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
635,Panabá,MX,78.64,clear sky,21.2833,-88.2667,Posada rosario
636,Nago,JP,84.36,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
639,Kushima,JP,89.11,scattered clouds,31.4583,131.2333,Hanaoka
640,Iberia,US,77.05,broken clouds,29.9502,-91.7507,back to back rv park
641,Banjar,ID,84.06,scattered clouds,-8.19,114.9675,The Hamsa Resort
645,Sarh,TD,76.91,thunderstorm,9.1429,18.3923,Domicile 1sur le goudron
646,Arlit,NE,87.3,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
647,Taytayan,PH,87.04,broken clouds,7.7339,126.5019,Villa Dominga
650,Bahía Solano,CO,78.75,overcast clouds,6.2262,-77.4044,Paraiso Escondido
651,Guangyuan,CN,82.17,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
653,Guiyang,CN,84.69,few clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
663,Darhan,MN,75.31,clear sky,49.4867,105.9228,Buudai Hotel
