City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Jucuarán,SV,13.2539,-88.2478,66.79,100,100,2.75,moderate rain
274,Zhezkazgan,KZ,47.8043,67.7144,84.49,31,5,6.51,clear sky
275,Dalhousie,IN,32.5333,75.9833,67.66,75,4,4.36,clear sky
276,Mareeba,AU,-17.0,145.4333,77.43,34,55,6.44,broken clouds
277,Ferme-Neuve,CA,46.7001,-75.4493,65.55,73,89,3.56,overcast clouds
278,Riyadh,SA,24.6877,46.7219,84.34,11,4,8.14,clear sky
279,Benguela,AO,-12.5763,13.4055,68.25,88,8,1.61,clear sky
280,Miandrivazo,MG,-19.5167,45.4667,72.34,56,54,3.58,broken clouds
281,Sweetwater,US,25.7634,-80.3731,84.02,84,100,5.93,overcast clouds
282,Klyuchevsk,RU,57.1216,60.9414,71.53,73,87,3.27,overcast clouds
283,Cap Malheureux,MU,-19.9842,57.6142,68.49,66,48,5.99,scattered clouds
284,Ayan,RU,56.45,138.1667,56.55,88,93,4.41,overcast clouds
285,Khani,GE,41.9563,42.9566,65.77,74,0,1.03,clear sky
286,East London,ZA,-33.0153,27.9116,64.96,88,93,7.2,overcast clouds
287,Düzce,TR,40.8389,31.1639,75.81,49,0,2.73,clear sky
288,Geraldton,AU,-28.7667,114.6,64.81,55,0,11.5,clear sky
289,Minakuchichō-matoba,JP,34.9667,136.1667,96.66,48,0,1.92,clear sky
290,Tynset,NO,62.2759,10.7824,38.82,98,84,4.79,broken clouds
291,Sherman,US,33.6357,-96.6089,82.42,74,1,8.05,clear sky
292,Ghanzi,BW,-21.5667,21.7833,53.51,39,0,9.1,clear sky
293,Aswān,EG,24.0934,32.907,88.9,37,0,8.05,clear sky
294,Deputatsky,RU,69.3,139.9,47.61,59,97,15.28,overcast clouds
295,Necochea,AR,-38.5473,-58.7368,47.03,75,0,11.34,clear sky
296,Hobyo,SO,5.3505,48.5268,77.0,83,100,22.95,overcast clouds
297,Hambantota,LK,6.1241,81.1185,86.34,74,40,18.41,scattered clouds
298,Zeya,RU,53.75,127.2667,57.81,98,100,4.27,light rain
299,Aliwal North,ZA,-30.6937,26.7114,46.08,54,5,3.98,clear sky
300,Prome,MM,18.8167,95.2167,77.36,95,100,10.38,overcast clouds
301,Krasnogorsk,RU,55.8225,37.3181,60.96,82,0,2.24,clear sky
302,Usinsk,RU,65.9939,57.5281,66.54,70,92,7.05,overcast clouds
303,Taoudenni,ML,22.6783,-3.9836,97.25,10,27,10.11,scattered clouds
304,Ranong,TH,9.9658,98.6348,85.93,84,100,14.67,overcast clouds
