City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Saldanha,ZA,2021-08-03 11:33:52,-33.0117,17.9442,68.05,59,0,5.41
87,Saskylakh,RU,2021-08-03 11:33:53,71.9167,114.0833,71.04,49,93,10.83
88,Pringsewu,ID,2021-08-03 11:33:53,-5.3582,104.9744,75.42,93,72,3.51
89,Alyangula,AU,2021-08-03 11:33:53,-13.8483,136.4192,75.07,88,82,3.44
90,Safaga,EG,2021-08-03 11:33:54,26.7292,33.9365,94.95,48,0,10.8
91,Yaan,NG,2021-08-03 11:33:54,7.3833,8.5667,81.14,75,100,7.49
92,Norman Wells,CA,2021-08-03 11:33:55,65.282,-126.8329,64.44,63,75,3.44
93,Camacha,PT,2021-08-03 11:33:55,33.0833,-16.3333,72.36,64,40,13.8
94,Riyadh,SA,2021-08-03 11:30:42,24.6877,46.7219,113.14,6,67,5.82
95,Knysna,ZA,2021-08-03 11:33:56,-34.0363,23.0471,82.78,26,0,8.41
96,Ribeira Grande,PT,2021-08-03 11:33:56,38.5167,-28.7,75.6,78,40,4.61
97,Soe,ID,2021-08-03 11:33:57,-9.8607,124.284,64.26,90,87,5.64
98,Bourail,NC,2021-08-03 11:30:29,-21.5667,165.4833,62.65,83,0,3.83
99,Torbay,CA,2021-08-03 11:33:57,47.6666,-52.7314,64.38,89,75,27.63
100,Bambanglipuro,ID,2021-08-03 11:33:58,-7.95,110.2833,76.46,87,69,10.92
101,Ushuaia,AR,2021-08-03 11:32:31,-54.8,-68.3,37.06,70,75,11.5
102,Ushtobe,KZ,2021-08-03 11:33:58,45.2514,77.9838,98.31,10,99,15.59
103,Elmira,US,2021-08-03 11:33:02,42.0898,-76.8077,57.63,95,90,4.61
104,Isangel,VU,2021-08-03 11:33:59,-19.55,169.2667,68.13,75,4,7.9
105,Warwick,US,2021-08-03 11:33:59,41.7001,-71.4162,66.88,84,75,3.44
106,Stykkisholmur,IS,2021-08-03 11:33:59,65.0757,-22.7297,55.98,78,93,4.38
107,Grindavik,IS,2021-08-03 11:34:00,63.8424,-22.4338,57.56,82,90,9.22
108,Lata,PT,2021-08-03 11:34:00,40.1629,-8.3327,83.05,51,53,9.37
109,Hermanus,ZA,2021-08-03 11:34:01,-34.4187,19.2345,70.9,67,0,7.34
110,Vila Franca Do Campo,PT,2021-08-03 11:34:01,37.7167,-25.4333,75.61,62,0,3.69
111,Haines Junction,CA,2021-08-03 11:34:01,60.7522,-137.5108,53.55,94,100,3.44
112,Krasnoselkup,RU,2021-08-03 11:34:02,65.7,82.4667,75.29,49,100,11.83
113,Butaritari,KI,2021-08-03 11:34:02,3.0707,172.7902,81.55,75,50,6.73
114,Victoria,HK,2021-08-03 11:30:12,22.2855,114.1577,85.98,90,95,1.99
115,Qujing,CN,2021-08-03 11:34:03,25.4833,103.7833,64.99,80,30,5.59
116,Jalu,LY,2021-08-03 11:34:03,29.0331,21.5482,107.55,11,0,14.32
117,Impfondo,CG,2021-08-03 11:34:04,1.6381,18.0667,97.99,28,70,3.02
118,Cape Coast,GH,2021-08-03 11:34:04,5.1053,-1.2466,80.1,77,99,12.53
119,Xingtai,CN,2021-08-03 11:34:05,37.0631,114.4942,80.55,71,89,6.33
120,Hilo,US,2021-08-03 11:34:05,19.7297,-155.09,73.8,85,90,5.75
121,Texarkana,US,2021-08-03 11:34:05,33.4251,-94.0477,71.82,91,1,4.0
122,Scarborough,GB,2021-08-03 11:29:35,54.2797,-0.4044,69.53,64,8,1.99
123,Avarua,CK,2021-08-03 11:34:06,-21.2078,-159.775,71.65,88,20,2.3
